# Rime user dictionary
#@/db_name	myDict.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1001
#@/user_id	portable-rime
Gol 	Google	c=1 d=0.102797 t=1001
yi zhi 	一直	c=1 d=0.174645 t=1001
yi zi 	一字	c=0 d=0.0427415 t=1001
yi zi ma 	一字馬	c=1 d=0.429557 t=1001
yin qing 	引擎	c=1 d=0.154896 t=1001
yin yong 	引用	c=3 d=0.14786 t=1001
ying gai 	應該	c=2 d=0.522877 t=1001
ying jun 	英俊	c=1 d=0.16696 t=1001
ying she 	映射	c=1 d=1 t=856
ying wen 	英文	c=1 d=0.0620385 t=1001
yong 	用	c=4 d=2.28003 t=1001
yong hu 	用戶	c=4 d=0.20314 t=1001
yong zuo 	用作	c=1 d=1 t=809
you 	又	c=1 d=0.0590129 t=1001
you 	有	c=4 d=1.38574 t=1001
you dai 	優待	c=1 d=0.100761 t=1001
you dian 	有點	c=1 d=0.241714 t=1001
you ge 	有個	c=1 d=0.644036 t=1001
you hua 	優化	c=2 d=0.317062 t=1001
you shen me 	有什麼	c=1 d=0.955997 t=1001
you shen me qu bie 	有什麼區別	c=1 d=1 t=802
you xi 	遊戲	c=3 d=0.876753 t=1001
you xi gao shou 	遊戲高手	c=1 d=0.371577 t=1001
yu yan 	語言	c=1 d=1 t=978
yuan yi 	願意	c=0 d=0.00466538 t=1001
yun 	雲	c=0 d=0.0204948 t=1001
yun wan jia 	雲玩家	c=1 d=0.205975 t=1001
zai 	再	c=2 d=0.0878848 t=1001
zai 	在	c=6 d=0.800972 t=1001
zen 	怎	c=1 d=0.97531 t=1001
zen me 	怎麼	c=2 d=0.67368 t=1001
zhan 	斬	c=1 d=0.358796 t=1001
zhan shi 	展示	c=1 d=0.869358 t=1001
zhao dao 	找到	c=2 d=0.27164 t=1001
zhao ming 	照明	c=1 d=1 t=753
zhe 	這	c=0 d=0.0628135 t=1001
zhe ge 	這個	c=3 d=0.792851 t=1001
zhe me 	這麼	c=2 d=0.628805 t=1001
zhe shi 	這是	c=1 d=1 t=821
zhe yang 	這樣	c=1 d=0.0426384 t=1001
zhe yang yi lai 	這樣一來	c=1 d=0.0490458 t=1001
zhe yi dao 	這一刀	c=1 d=0.631284 t=1001
zhen de 	真的	c=1 d=1 t=711
zheng chang 	正常	c=1 d=0.054204 t=1001
zheng que 	正確	c=1 d=1 t=787
zhi 	之	c=1 d=0.217621 t=1001
zhi dao 	知道	c=2 d=1.23156 t=967
zhi du 	制度	c=1 d=1 t=898
zhi hou 	之後	c=1 d=0.308819 t=1001
zhi hu 	知乎	c=1 d=0.0342181 t=1001
zhi jian 	之間	c=2 d=1.42956 t=948
zhi jie 	直接	c=3 d=0.507874 t=1001
zhi kan 	只看	c=1 d=0.190139 t=1001
zhi lang 	只狼	c=4 d=0.769362 t=1001
zhi le 	之樂	c=1 d=1 t=764
zhi lei 	之類	c=1 d=1 t=765
zhi neng 	只能	c=1 d=0.239309 t=1001
zhi qian 	之前	c=1 d=0.0605068 t=1001
zhi shi 	只是	c=1 d=1 t=843
zhi shi 	知識	c=3 d=2.83115 t=774
zhi zao 	製造	c=1 d=1 t=725
zhong 	鍾	c=2 d=1.34751 t=1001
zhong guo 	中國	c=2 d=0.227555 t=1001
zhong jian 	中間	c=1 d=1 t=808
zhong yao 	重要	c=1 d=1 t=886
zhou 	咒	c=1 d=0.289384 t=1001
zhu 	朱	c=1 d=1 t=914
zhu bo 	主播	c=2 d=0.403798 t=1001
zhu ce 	註冊	c=1 d=1 t=690
zhu ke fu 	朱可夫	c=1 d=1 t=955
zhu shi 	註釋	c=1 d=0.0633164 t=1001
zhu shi diao 	註釋掉	c=1 d=0.0520787 t=1001
zhu yao 	主要	c=1 d=1 t=757
zhu yi 	主義	c=2 d=1.95123 t=795
zhuan ye 	專業	c=2 d=1.94649 t=739
zhui zhui bu an 	惴惴不安	c=1 d=0.101774 t=1001
zi 	字	c=2 d=0.110777 t=1001
zi bi 	自閉	c=1 d=0.285076 t=1001
zi ci 	字詞	c=1 d=0.0689068 t=1001
zi dian 	字典	c=1 d=0.0415857 t=1001
zi dong hua 	自動化	c=1 d=1 t=727
zi fu 	字符	c=2 d=0.497913 t=1001
zi ji 	自己	c=2 d=0.230836 t=1001
zi jia 	自家	c=1 d=0.156453 t=1001
zou cuo 	走錯	c=1 d=0.279431 t=1001
zui 	最	c=1 d=0.231078 t=1001
zui chu 	最初	c=1 d=0.0682212 t=1001
zui xin 	最新	c=1 d=1 t=958
zuo 	做	c=2 d=0.318926 t=1001
